treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
new treasuretable "TUT_Chest_Creepy"
new subtable "1,1"
object category "I_Toy_TeddyBear_Worn",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Skull",1,0,0,0,0,0,0,0
new treasuretable "TUT_Chest_Shar"
new subtable "1,1"
object category "I_OBJ_Onyx",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Gold_Stash_Poor",1,0,0,0,0,0,0,0
new treasuretable "TUT_Backpack_Thief"
new subtable "1,1"
object category "T_Valuables_Gems",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Gold_Meager",1,0,0,0,0,0,0,0
new treasuretable "TUT_BackupCambion_Reward"
new subtable "1,1"
object category "T_Exploration_Major",1,0,0,0,0,0,0,0
new treasuretable "_CRA"
new treasuretable "CRA_Escape_Mindflayer_Thrall_01"
new subtable "1,1"
object category "T_Gold_Meager",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Supplies_Food_10",1,0,0,0,0,0,0,0
new treasuretable "CRA_Escape_Mindflayer_Thrall_02"
new subtable "1,1"
object category "T_Gold_Meager",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_GEN_Seashell",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_CONS_DRINK_Rum",1,0,0,0,0,0,0,0
new treasuretable "CRA_Escape_Mindflayer_Thrall_03"
new subtable "1,1"
object category "T_Gold_Pocket_Poor",1,0,0,0,0,0,0,0
new treasuretable "CRA_BeachBag"
new subtable "1,1;2,1"
object category "T_Gold_Meager",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Bread_Loaf",1,0,0,0,0,0,0,0
new subtable "2,1"
object category "T_Supplies_Food_3",1,0,0,0,0,0,0,0
new treasuretable "CRA_HarperTreasureBox"
new subtable "1,1"
object category "T_Gold_Stash_Poor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Valuables_Gems",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Potion_Of_Speed",1,0,0,0,0,0,0,0
new treasuretable "WLD_CRA_GoldChest"
new subtable "1,1"
object category "T_Gold_Stash_Modest",1,0,0,0,0,0,0,0
new treasuretable "WLD_CRA_PotionChest"
new subtable "1,1"
object category "I_OBJ_Potion_Healing",1,0,0,0,0,0,0,0
new treasuretable "CRA_NautiloidChest"
new subtable "1,1"
object category "T_Alchemy_Coating",1,0,0,0,0,0,0,0
new treasuretable "WLD_CRA_Corpse_Fisher"
new subtable "1,2; 2,2"
object category "T_Gold_Meager",2,0,0,0,0,0,0,0
object category "I_OBJ_Bottle",3,0,0,0,0,0,0,0
object category "I_Cup_Metal",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Supplies_Fish",1,0,0,0,0,0,0,0
new treasuretable "WLD_CRA_Corpse_Fisher_Lover"
new subtable "1,1"
object category "T_Gold_Pocket_Poor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_CONS_DRINK_Water_Bottle",1,0,0,0,0,0,0,0
new subtable "2,1"
object category "I_CONS_FOOD_Fruit_Apple",1,0,0,0,0,0,0,0
new treasuretable "WLD_CRA_Corpse_ThrallsReward"
new subtable "1,1"
object category "T_Gold_Pocket_Normal",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_WPN_Rapier",1,0,0,0,0,0,0,0
new treasuretable "WLD_CRA_Corpse_Commoner"
new subtable "1,1"
object category "T_Gold_Pocket_Normal",2,0,0,0,0,0,0,0
object category "T_Empty",1,0,0,0,0,0,0,0
object category "I_WPN_Dagger",1,0,0,0,0,0,0,0
new treasuretable "WLD_CRA_IntDevCorpse"
new subtable "1,1"
object category "T_Empty",1,0,0,0,0,0,0,0
new treasuretable "WLD_CRA_RidgeSecretChest"
new subtable "1,1"
object category "T_ST_GEN_Valuables_Jewelry_Copper",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Potion_Of_Fire_Resistance",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_MindflayerBulb_Caustic",1,0,0,0,0,0,0,0
new treasuretable "CRA_ShipwreckContainer_Water"
new subtable "1,1"
object category "I_CONS_DRINK_Water_Bottle",1,0,0,0,0,0,0,0
new treasuretable "CRA_ShipwreckContainer_Gold"
new subtable "1,1"
object category "T_Gold_Stash_Poor",1,0,0,0,0,0,0,0
new treasuretable "CRA_ShipwreckContainer_Gold_Meager"
new subtable "1,1"
object category "T_Gold_Meager",1,0,0,0,0,0,0,0
new treasuretable "CRA_ShipwreckContainer"
new subtable "1,1"
object category "T_Supply_Tools",1,0,0,0,0,0,0,0
object category "T_CRA_ShipwreckContainer_Water",1,0,0,0,0,0,0,0
object category "T_CRA_ShipwreckContainer_Gold",1,0,0,0,0,0,0,0
object category "T_CRA_ShipwreckContainer_Gold_Meager",1,0,0,0,0,0,0,0
object category "T_Empty",1,0,0,0,0,0,0,0
object category "T_ST_MusicInstrument",1,0,0,0,0,0,0,0
new treasuretable "CRA_MindFlayer"
new subtable "1,1"
object category "T_TUT_Mindflayer_Dead",2,0,0,0,0,0,0,0
new treasuretable "CRA_MindFlayer_PotionOfSpeed"
new subtable "1,1"
object category "I_OBJ_Potion_Of_Speed",1,0,0,0,0,0,0,0
new treasuretable "GOB_DeadMindFlayer"
new subtable "1,1"
object category "T_TUT_Mindflayer_Dead",1,0,0,0,0,0,0,0
new treasuretable "CRA_DeadGoblin"
new subtable "1,1"
object category "I_OBJ_Bone",1,0,0,0,0,0,0,0
object category "I_OBJ_Potion_Healing",1,0,0,0,0,0,0,0
object category "T_Empty",1,0,0,0,0,0,0,0
new treasuretable "CRA_PlantedThievesTools"
new subtable "-1"
object category "I_OBJ_Kit_ThievesTools",1,0,0,0,0,0,0,0
new treasuretable "CRA_LockedCrate"
new subtable "-1"
object category "T_Gold_Stash_Poor",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_ARM_Helmet_Leather",1,0,0,0,0,0,0,0
new treasuretable "_CHA"
new treasuretable "CHA_OutpostSpider"
new subtable "1,1"
object category "T_Empty",1,0,0,0,0,0,0,0
object category "I_CONT_Egg_Spider_A_CombatThrowable",1,0,0,0,0,0,0,0
new treasuretable "CHA_Exterior_Bandit_Caster"
new subtable "1,1"
object category "T_Gold_Pocket_Modest",1,0,0,0,0,0,0,0
new treasuretable "CHA_Exterior_Bandit_Melee"
new subtable "1,1"
object category "T_Gold_Meager",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Kit_ThievesTools",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Kit_TrapDisarm",1,0,0,0,0,0,0,0
new treasuretable "CHA_Exterior_Bandit_Ranger"
new subtable "1,1"
object category "T_Gold_Pocket_Poor",1,0,0,0,0,0,0,0
object category "T_Gold_Meager",1,0,0,0,0,0,0,0
new treasuretable "CHA_Exterior_Bandit_Leader"
new subtable "1,1"
object category "T_Gold_Pocket_Modest",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Valuables_Gems",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Tool_Shovel",1,0,0,0,0,0,0,0
new treasuretable "CHA_LooterBackpack"
new subtable "1,1"
object category "I_WPN_Torch",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Rope",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_CONS_DRINK_Rum",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_WPN_Dagger",1,0,0,0,0,0,0,0
new subtable "2,1"
object category "I_OBJ_Kit_ThievesTools",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Kit_TrapDisarm",1,0,0,0,0,0,0,0
new treasuretable "CHA_LowerEntrance_Chest"
new subtable "2,1"
object category "T_Alchemy_Potion_Healing",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_ST_SpecialArrow",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_ST_Throwable",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_WPN_Torch",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Kit_TrapDisarm",1,0,0,0,0,0,0,0
new treasuretable "CHA_FL1_Chest_Entrance"
new subtable "1,1"
object category "T_Gold_Stash_Poor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Cup_Rich",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_KitchenwareRich_Plate_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Chalice_Glass",1,0,0,0,0,0,0,0
new treasuretable "CHA_LootersSmall"
new subtable "1,1"
object category "T_Gold_Pocket_Poor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Chalice_Glass",1,0,0,0,0,0,0,0
new treasuretable "CHA_FL1_Bandit_Guard"
new subtable "1,1"
object category "I_OBJ_Bottle",1,0,0,0,0,0,0,0
new treasuretable "WLD_CHA_BanditLockpick"
new subtable "1,1"
object category "I_OBJ_Kit_ThievesTools",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Gold_Pocket_Poor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Kit_TrapDisarm",1,0,0,0,0,0,0,0
new treasuretable "CHA_FL1_BanditSanctum"
new subtable "1,1"
object category "T_Gold_Meager",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Alchemy_Poison",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_WPN_Torch",1,0,0,0,0,0,0,0
new treasuretable "CHA_FL1_Bandit"
new subtable "1,1"
object category "T_Gold_Meager",1,0,0,0,0,0,0,0
object category "T_Gold_Pocket_Poor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Kit_TrapDisarm",1,0,0,0,0,0,0,0
object category "I_OBJ_Kit_ThievesTools",1,0,0,0,0,0,0,0
object category "T_ST_Alcohol_Cheap",1,0,0,0,0,0,0,0
new treasuretable "CHA_Book"
new subtable "1,1"
object category "BookGodsGood",1,0,0,0,0,0,0,0
new treasuretable "CHA_Bookshelf"
new subtable "1,1; 2,1"
object category "T_CHA_Book",1,0,0,0,0,0,0,0
new treasuretable "CHA_FL1_Book_container"
new subtable "1,1"
object category "T_CHA_Bookshelf",1,0,0,0,0,0,0,0
object category "T_Empty",1,0,0,0,0,0,0,0
new treasuretable "CHA_FL2_Book_container"
new subtable "1,1"
object category "T_CHA_Bookshelf",3,0,0,0,0,0,0,0
object category "T_Scroll",1,0,0,0,0,0,0,0
object category "T_Empty",1,0,0,0,0,0,0,0
new treasuretable "ST_CHA_Junk_Scribe"
new subtable "1,1;2,1;3,1"
object category "I_OBJ_InkPot",1,0,0,0,0,0,0,0
object category "I_OBJ_InkPot_Open",1,0,0,0,0,0,0,0
object category "I_OBJ_Feather",3,0,0,0,0,0,0,0
new treasuretable "ST_CHA_Junk_Kitchenware"
new subtable "1,1;2,1;3,1"
object category "I_OBJ_Cup_Metal",1,0,0,0,0,0,0,0
object category "I_OBJ_Plate_Metal",1,0,0,0,0,0,0,0
object category "I_OBJ_Bowl",1,0,0,0,0,0,0,0
new treasuretable "ST_CHA_Junk_Candles"
new subtable "1,1;2,1;3,1;4,1;5,1"
object category "I_OBJ_Candle",1,0,0,0,0,0,0,0
new treasuretable "ST_CHA_Gold"
new subtable "1,1"
object category "T_Gold_Stash_Poor",1,0,0,0,0,0,0,0
new treasuretable "CHA_Container_Abandoned"
new subtable "1,1"
object category "T_Empty",1,0,0,0,0,0,0,0
object category "T_ST_CHA_Junk_Kitchenware",1,0,0,0,0,0,0,0
object category "T_ST_CHA_Junk_Candles",2,0,0,0,0,0,0,0
object category "T_ST_CHA_Junk_Scribe",2,0,0,0,0,0,0,0
object category "T_Gold_Meager",1,0,0,0,0,0,0,0
new treasuretable "ST_CHA_Treasure_Scrolls"
new subtable "2,1;3,1"
object category "I_OBJ_Scroll_ProtectionFromEvilAndGood",1,0,0,0,0,0,0,0
object category "I_OBJ_Scroll_Silence",1,0,0,0,0,0,0,0
object category "I_OBJ_Scroll_GuidingBolt",1,0,0,0,0,0,0,0
new treasuretable "ST_CHA_Treasure_Kitchenware"
new subtable "2,1;3,1"
object category "I_OBJ_Cup_Rich",1,0,0,0,0,0,0,0
object category "I_OBJ_Plate_Metal",1,0,0,0,0,0,0,0
object category "I_OBJ_Chalice_Glass",1,0,0,0,0,0,0,0
new treasuretable "ST_CHA_Treasure_Jewelry"
new subtable "1,1"
object category "T_ST_GEN_Valuables_Jewelry_Silver",1,0,0,0,0,0,0,0
new treasuretable "CHA_Container_Treasure"
new subtable "1,1"
object category "T_ST_CHA_Gold",1,0,0,0,0,0,0,0
object category "T_ST_CHA_Treasure_Scrolls",2,0,0,0,0,0,0,0
object category "T_ST_CHA_Treasure_Kitchenware",3,0,0,0,0,0,0,0
object category "T_ST_CHA_Treasure_Jewelry",2,0,0,0,0,0,0,0
new treasuretable "ST_CHA_Tomb_Weapon"
new subtable "1,1"
object category "T_ST_MartialMeleeWeapons",1,0,0,0,0,0,0,0
new treasuretable "ST_CHA_Tomb_Shield"
new subtable "1,1"
object category "I_ARM_Shield",1,0,0,0,0,0,0,0
new treasuretable "ST_CHA_Tomb_Armor"
new subtable "1,1"
object category "I_ARM_RingMail_Body",1,0,0,0,0,0,0,0
new treasuretable "ST_CHA_Tomb_Bones"
new subtable "0,1;1,1"
object category "I_OBJ_Skull",1,0,0,0,0,0,0,0
new subtable "0,1;1,2"
object category "I_OBJ_Bone",1,0,0,0,0,0,0,0
new treasuretable "CHA_Container_Tomb_Minor"
new subtable "1,1"
object category "T_ST_CHA_Tomb_Weapon",2,0,0,0,0,0,0,0
object category "T_ST_CHA_Treasure_Jewelry",1,0,0,0,0,0,0,0
new subtable "0,1; 1,1"
object category "T_ST_CHA_Tomb_Shield",1,0,0,0,0,0,0,0
object category "T_ST_CHA_Tomb_Armor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_ST_CHA_Tomb_Bones",1,0,0,0,0,0,0,0
new treasuretable "CHA_Sanctum_Skeletons"
new subtable "1,1"
object category "T_Gold_Pocket_Poor",1,0,0,0,0,0,0,0
object category "T_Gold_Pocket_Modest",2,0,0,0,0,0,0,0
object category "T_Gold_Pocket_Normal",2,0,0,0,0,0,0,0
new treasuretable "CHA_Skeleton_Hatch"
new subtable "1,1"
object category "T_Gold_Pocket_Poor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Potion_Healing",1,0,0,0,0,0,0,0
new treasuretable "_DEN"
new treasuretable "DEN_GoblinRaider_Captain"
new subtable "1,1"
object category "T_Gold_Pocket_Normal",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Skull",1,0,0,0,0,0,0,0
new treasuretable "DEN_AdventureLeader"
new subtable "1,1"
object category "T_Gold_Pocket_Modest",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Kit_ThievesTools",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Kit_TrapDisarm",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_WPN_Torch",1,0,0,0,0,0,0,0
new treasuretable "DEN_RobbedAdventurer"
new subtable "1,1"
object category "T_Gold_Meager",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_CONS_DRINK_Rum",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_CONS_FOOD_Bread_Bun",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Tool_Shovel",1,0,0,0,0,0,0,0
new treasuretable "DEN_RaidAdventurer"
new subtable "1,1"
object category "T_Gold_Pocket_Poor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_CONS_FOOD_Fruit_Apple",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_CONS_FOOD_Bread_Bun",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "BookMonsters",1,0,0,0,0,0,0,0
new treasuretable "DEN_AdventurerLostBackpack"
new subtable "1,1"
object category "I_OBJ_Potion_Healing",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_GreaseBottle",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Kit_ThievesTools",1,0,0,0,0,0,0,0
new treasuretable "DEN_AdventurerLostBag"
new subtable "1,1"
object category "T_Gold_Pocket_Poor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Valuables_Gems",1,0,0,0,0,0,0,0
new treasuretable "DEN_Refugee_Cargo_Valuables"
new subtable "1,1"
object category "T_Gold_Stash_Poor",1,0,0,0,0,0,0,0
object category "T_Valuables_Gems",1,0,0,0,0,0,0,0
new treasuretable "DEN_Refugee_Cargo_Kitchenware"
new subtable "4,1"
object category "I_OBJ_KitchenwareRich_Cutlery_Knife_A",3,0,0,0,0,0,0,0
object category "I_OBJ_KitchenwareRich_Plate_A",3,0,0,0,0,0,0,0
object category "I_OBJ_KitchenwareRich_Cutlery_Spoon_A",3,0,0,0,0,0,0,0
object category "I_OBJ_KitchenwareRich_Cutlery_Knife_A",3,0,0,0,0,0,0,0
new treasuretable "DEN_Refugee_Cargo_Common"
new subtable "3,1"
object category "I_OBJ_Music_GuitarLute_Broken",2,0,0,0,0,0,0,0
object category "I_OBJ_Kitchenware_Cutlery_Ladle",2,0,0,0,0,0,0,0
object category "I_OBJ_Kitchenware_Cutlery_Spoon_Poor",2,0,0,0,0,0,0,0
object category "I_OBJ_Kitchenware_Cutlery_Fork_Poor",2,0,0,0,0,0,0,0
object category "I_OBJ_Plate_Metal",2,0,0,0,0,0,0,0
object category "I_OBJ_Tool_Hammer",2,0,0,0,0,0,0,0
object category "I_WPN_Dagger",2,0,0,0,0,0,0,0
object category "BookEntertainment",1,0,0,0,0,0,0,0
object category "I_OBJ_Tool_Shovel",1,0,0,0,0,0,0,0
new treasuretable "DEN_Refugee_Cargo"
new subtable "1,1"
object category "T_DEN_Refugee_Cargo_Valuables",2,0,0,0,0,0,0,0
object category "T_DEN_Refugee_Cargo_Common",2,0,0,0,0,0,0,0
object category "T_DEN_Refugee_Cargo_Kitchenware",2,0,0,0,0,0,0,0
new treasuretable "DEN_Refugee_Common"
new subtable "1,1"
object category "I_CONS_FOOD_Fruit_Apple",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Fruit_Pear",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Vegetable_Carrot",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Vegetable_Potato",1,0,0,0,0,0,0,0
new treasuretable "DEN_Refugee_Rare"
new subtable "1,1"
object category "T_Gold_Pocket_Poor",1,0,0,0,0,0,0,0
object category "T_Gold_Meager",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Fruit_Melon_Piece",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Fruit_Orange",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Cheese_Piece",1,0,0,0,0,0,0,0
object category "T_ST_MusicInstrument_Common",1,0,0,0,0,0,0,0
object category "BookEntertainment",1,0,0,0,0,0,0,0
new treasuretable "DEN_Refugee"
new subtable "1,1"
object category "T_DEN_Refugee_Common",4,0,0,0,0,0,0,0
object category "T_DEN_Refugee_Rare",1,0,0,0,0,0,0,0
object category "T_Empty",1,0,0,0,0,0,0,0
new treasuretable "DEN_Kid"
new subtable "0,2; 1,2"
object category "T_Gold_Meager",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_CONS_FOOD_Vegetable_Potato",1,0,0,0,0,0,0,0
object category "I_I_CONS_FOOD_Vegetable_Carrot",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Vegetable_Garlic",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Fruit_Apple",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Fruit_Pear",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Fruit_Melon_Piece",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Fruit_Orange",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Fruit_Lemon",1,0,0,0,0,0,0,0
object category "I_OBJ_Candle",1,0,0,0,0,0,0,0
object category "I_OBJ_Kitchenware_Cutlery_Fork_Iron",1,0,0,0,0,0,0,0
object category "I_OBJ_GreaseBottle",1,0,0,0,0,0,0,0
object category "I_Toy_TeddyBear_Clean",1,0,0,0,0,0,0,0
object category "I_Toy_TeddyBear_Worn",1,0,0,0,0,0,0,0
object category "I_Toy_WoodenBlock_A",1,0,0,0,0,0,0,0
